doi,title_cleaned,journal_name_cleaned,features_union_titre_journal,bso_classification
10.1090/conm/742/14937,computing milnor fiber monodromy projective hypersurfaces,contemporary mathematics,computing milnor fiber monodromy projective hypersurfaces contemporary mathematics,Mathematics
10.1016/B978-0-12-812976-0.00013-0,adaptation learning network nonlinear system modeling,adaptive learning method nonlinear system modeling,adaptation learning network nonlinear system modeling adaptive learning method nonlinear system modeling,Computer and information sciences
10.1016/B978-1-78548-268-7.50015-8,toward process resilience implementation capacity model strategy,flood,toward process resilience implementation capacity model strategy flood,"Earth, Ecology, Energy and applied biology"
10.1017/S0022377819000758,interplay kelvin helmholtz lower hybrid drift instability,journal plasma physic,interplay kelvin helmholtz lower hybrid drift instability journal plasma physic,"Physical sciences, Astronomy"
10.1109/GLOBECOM38437.2019.9013602,optimal allocation lorawan considering physical capture imperfect orthogonality,ieee global communication conference globecom,optimal allocation lorawan considering physical capture imperfect orthogonality ieee global communication conference globecom,Computer and information sciences
10.1109/ICOIN48656.2020.9016607,optimization network service embedding cost public private cloud,international conference information networking icoin,optimization network service embedding cost public private cloud international conference information networking icoin,Computer and information sciences
10.1109/CAMSAP45676.2019.9022456,study tensor matrix model super resolution fluorescence microscopy,ieee international workshop computational advance multi sensor adaptive processing camsap,study tensor matrix model super resolution fluorescence microscopy ieee international workshop computational advance multi sensor adaptive processing camsap,Computer and information sciences
10.1029/2019EA000785,recent progress lunar laser ranging grasse laser ranging station,earth space science,recent progress lunar laser ranging grasse laser ranging station earth space science,"Earth, Ecology, Energy and applied biology"
10.3233/JAD-191282,interest game ludic application improve apathy assessment patient neurocognitive disorder,journal alzheimer disease,interest game ludic application improve apathy assessment patient neurocognitive disorder journal alzheimer disease,Medical research
10.1083/JCB.202001185,mapping inside cell brings new light polyphosphoinositide biology,journal cell biology,mapping inside cell brings new light polyphosphoinositide biology journal cell biology,Biology (fond.)
10.1029/2019JE006296,observation meteorite model preflight assessment composition formation psyche,journal geophysical research planet,observation meteorite model preflight assessment composition formation psyche journal geophysical research planet,"Earth, Ecology, Energy and applied biology"
10.1029/2019GL086746,flexure lithosphere beneath north polar cap mar implication ice composition heat flow,geophysical research letter,flexure lithosphere beneath north polar cap mar implication ice composition heat flow geophysical research letter,"Earth, Ecology, Energy and applied biology"
10.4208/cicp.OA-2018-0307,anexplicit muscl schemeonstaggeredgridswith kinetic like flux barotropic full euler system,communication computational physic,anexplicit muscl schemeonstaggeredgridswith kinetic like flux barotropic full euler system communication computational physic,"Physical sciences, Astronomy"
10.1016/B978-0-12-813543-3.00012-3,devs activity tracking based model engineering simulation,model engineering simulation,devs activity tracking based model engineering simulation model engineering simulation,Computer and information sciences
10.1109/AICCSA47632.2019.9035330,iot device hardware modeling executing blockchain smart contract application,ieee ac international conference computer system application aiccsa,iot device hardware modeling executing blockchain smart contract application ieee ac international conference computer system application aiccsa,Computer and information sciences
10.4310/ATMP.2020.v24.n2.a1,branched holomorphic cartan geometry sasakian manifold,advance theoretical mathematical physic,branched holomorphic cartan geometry sasakian manifold advance theoretical mathematical physic,Mathematics
